interpolated_recalls_at_levels,interpolated_precisions_at_levels,interpolated_f1_at_levels
0.0,0.5749754026796572,0.0
0.10000000000000023,0.5430071769221593,0.16889614810252587
0.20000000000000046,0.4762659671240186,0.2817033476633185
0.2999999999999987,0.40337833162937947,0.3440922020116404
0.4000000000000009,0.3476981661426961,0.3720198142910403
0.5,0.3154796092666037,0.38686388437146607
0.5999999999999974,0.24147619737181733,0.3443608241697431
0.6999999999999995,0.1808921070962782,0.28749145087652633
0.8000000000000018,0.1445167551056414,0.24480964145857242
0.9000000000000036,0.10982022090416127,0.1957540496173637
1.0,0.10294757623390006,0.1866771883853674
