interpolated_recalls_at_levels,interpolated_precisions_at_levels,interpolated_f1_at_levels
0.0,0.64829333213452,0.0
0.1,0.52800536235704,0.1681531381755473
0.2,0.4721749027452779,0.28098335764506194
0.3,0.3926796763124131,0.3401396256372676
0.4,0.3457233469267374,0.37088644023446676
0.5,0.30695274737050116,0.38038503291639214
0.6,0.2186285159968285,0.3204801861522383
0.7,0.1674625914848592,0.2702682863562941
0.8,0.13978509400697325,0.2379864841839018
0.9,0.10720715332914721,0.191592042763623
1.0,0.10120524792342542,0.18380814678148527
